TipoInstituicao,CodInst,AnoMes,NomeRelatorio,NumeroRelatorio,Grupo,Conta,NomeColuna,DescricaoColuna,Saldo
1,00804046,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],89111524.71
1,00804046,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],115128483.48
1,00804046,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],88939518.42
1,00804046,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],24978256.7
1,00804046,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],1473914.85
1,00804046,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,23669282.61
1,00804046,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.073167769320914
1,00804046,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.226909111730247
1,00815319,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],4658618378.35
1,00815319,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],3033203052.37
1,00815319,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],3798588278.48
1,00815319,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],3403765390.0
1,00815319,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],860030099.87
1,00815319,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],59454739.57
1,00815319,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,807463271.71
1,00815319,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.0453617772885587
1,00815319,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.247729793801889
1,00869687,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],377415723.45
1,00869687,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],184677264.15
1,00869687,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],324113468.65
1,00869687,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],232029790.18
1,00869687,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],53302254.8
1,00869687,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],945957.43
1,00869687,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,46845600.05
1,00869687,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.00791460904768579
1,00869687,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.201489033556775
1,00881829,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],1761869.22
1,00881829,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],1741662.99
1,00881829,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],287503.61
1,00881829,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],0.0
1,00881829,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],1474365.61
1,00881829,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],-30133.21
1,00881829,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,1474365.61
1,00881829,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.00378143654612237
1,00881829,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,1.00085428951994
1,00913314,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],6681682.96
